session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,time_stamp,seconds_on_page,subsession_pk,auto_submitted
1,1,w3a8r8kg,268,Biosecurity,ResultsWaitPage,1518003020,0,11,False
1,1,w3a8r8kg,269,Biosecurity,Results,1518003021,1,11,True
1,1,w3a8r8kg,270,Biosecurity,NoPledgeResultWaitPage,1518003022,1,11,False
1,1,w3a8r8kg,288,Biosecurity,WaitforEveryone,1518003023,1,12,False
1,1,w3a8r8kg,290,Biosecurity,Round,1518003025,2,12,True
1,1,w3a8r8kg,291,Biosecurity,ResultsWaitPage,1518003025,0,12,False
1,1,w3a8r8kg,292,Biosecurity,Results,1518003026,1,12,True
1,1,w3a8r8kg,293,Biosecurity,NoPledgeResultWaitPage,1518003027,1,12,False
1,1,w3a8r8kg,311,Biosecurity,WaitforEveryone,1518003027,0,13,False
1,1,w3a8r8kg,313,Biosecurity,Round,1518003030,3,13,True
1,1,w3a8r8kg,314,Biosecurity,ResultsWaitPage,1518003030,0,13,False
1,1,w3a8r8kg,315,Biosecurity,Results,1518003032,2,13,True
1,1,w3a8r8kg,316,Biosecurity,NoPledgeResultWaitPage,1518003032,0,13,False
1,1,w3a8r8kg,334,Biosecurity,WaitforEveryone,1518003032,0,14,False
1,1,w3a8r8kg,336,Biosecurity,Round,1518003035,3,14,True
1,1,w3a8r8kg,337,Biosecurity,ResultsWaitPage,1518003035,0,14,False
1,1,w3a8r8kg,338,Biosecurity,Results,1518003046,11,14,True
1,1,w3a8r8kg,339,Biosecurity,NoPledgeResultWaitPage,1518003046,0,14,False
1,1,w3a8r8kg,357,Biosecurity,WaitforEveryone,1518003047,1,15,False
1,1,w3a8r8kg,359,Biosecurity,Round,1518003050,3,15,True
1,1,w3a8r8kg,360,Biosecurity,ResultsWaitPage,1518003050,0,15,False
1,1,w3a8r8kg,361,Biosecurity,Results,1518003054,4,15,True
1,1,w3a8r8kg,362,Biosecurity,NoPledgeResultWaitPage,1518003054,0,15,False
1,1,w3a8r8kg,367,Results,CheckPayments,1518003054,0,1,False
1,1,w3a8r8kg,368,Results,Questioner,1518003090,36,1,False
1,2,c67koqkh,1,Lottery,Introduction,1518002015,30,1,False
1,2,c67koqkh,2,Lottery,LotteryInstructions,1518002402,387,1,False
1,2,c67koqkh,3,Lottery,ResultsWaitPage,1518002407,5,1,False
